Reviews,Tokens,Class
"['parecio', 'simple', 'limitado', 'oferta', 'productos', 'veia', 'limpio', 'ahi', 'veia', 'encuentra', 'cualquier', 'parte', 'pais']","['pareci', 'simpl', 'limit', 'ofert', 'product', 'vei', 'limpi', 'ahi', 'vei', 'encuentr', 'cualqui', 'part', 'pais']",4
"['hotel', 'agradable', 'buena', 'ubicacion', 'recorrer', 'centro', 'historico', 'puebla', 'tener', 'usar', 'vehiculo', 'hace', 'falta', 'servicio', 'cafe', 'cortesia', 'alberca', 'pequena', 'funciono', 'bien', 'conocer', 'museos', 'iglesias', 'sitios', 'interes', 'tener', 'hacer', 'uso', 'vehiculo']","['hotel', 'agrad', 'buen', 'ubic', 'recorr', 'centr', 'histor', 'puebl', 'ten', 'usar', 'vehicul', 'hac', 'falt', 'servici', 'caf', 'cortesi', 'alberc', 'pequen', 'funcion', 'bien', 'conoc', 'muse', 'iglesi', 'siti', 'inter', 'ten', 'hac', 'uso', 'vehicul']",3
"['bueno', 'visitar', 'iglesia', 'perooo', 'vale', 'pena', 'restaurantes', 'vista', 'falto', 'probar', 'comida', 'simplemente', 'vista', 'vale', 'pena', 'mirador', 'natural', 'varias', 'cosas', 'pasar', 'manana', 'necesario', 'llevar', 'frio', 'incluso', 'junta', 'taquilla', 'vendedores', 'bufandas', 'gorritos', 'necesitara']","['buen', 'visit', 'iglesi', 'peroo', 'val', 'pen', 'restaur', 'vist', 'falt', 'prob', 'com', 'simplement', 'vist', 'val', 'pen', 'mirador', 'natural', 'vari', 'cos', 'pas', 'manan', 'necesari', 'llev', 'fri', 'inclus', 'junt', 'taquill', 'vendedor', 'bufand', 'gorrit', 'necesit']",5
"['hotel', 'melia', 'habana', 'hotel', 'lujoso', 'habitaciones', 'espaciosas', 'estan', 'bien', 'amuebladas', 'comodo', 'bano', 'piscina', 'bien', 'bar', 'piscina', 'monton', 'tumbonas', 'sol', 'sombra', 'desayuno', 'amplia', 'variedad', 'elegantes', 'opciones', 'lastima', 'hotel', 'mayoria', 'personal', 'arrogante', 'muestran', 'interes', 'huespedes', 'solo', 'hombres', 'mantenimiento', 'senoras', 'limpieza', 'amable', 'llegamos', 'hotel', 'despues', 'largo', 'viaje', 'queriamos', 'tomar', 'bano', 'cambiar', 'ropa', 'despues', 'flotan', 'media', 'hora', 'equipaje', 'habia', 'traido', 'habitacion', 'todavia', 'vestibulo', 'hotel', 'tranvia', 'conserje', 'pregunto', 'si', 'equipaje', 'podria', 'ser', 'llevados']","['hotel', 'meli', 'haban', 'hotel', 'lujos', 'habit', 'espaci', 'estan', 'bien', 'amuebl', 'comod', 'ban', 'piscin', 'bien', 'bar', 'piscin', 'monton', 'tumbon', 'sol', 'sombr', 'desayun', 'ampli', 'varied', 'eleg', 'opcion', 'lastim', 'hotel', 'mayori', 'personal', 'arrog', 'muestr', 'inter', 'huesped', 'sol', 'hombr', 'manten', 'senor', 'limpiez', 'amabl', 'lleg', 'hotel', 'despu', 'larg', 'viaj', 'queri', 'tom', 'ban', 'cambi', 'rop', 'despu', 'flot', 'medi', 'hor', 'equipaj', 'habi', 'tra', 'habit', 'todavi', 'vestibul', 'hotel', 'tranvi', 'conserj', 'pregunt', 'si', 'equipaj', 'podri', 'ser', 'llev']",3
"['primeramente', 'encanto', 'servicio', 'personal', 'realmente', 'capacitado', 'hospede', 'habitaciones', 'mas', 'nuevas', 'hotel', 'area', 'cabanas', 'vista', 'espectacular', 'hacia', 'popocateptl', 'lugares', 'realmente', 'relajantes', 'area', 'sirven', 'desayuno', 'agradable', 'puede', 'ser', 'hotel', 'familiar', 'bussines', 'class', 'dudarlo', 'regresaria']","['primer', 'encant', 'servici', 'personal', 'realment', 'capacit', 'hosped', 'habit', 'mas', 'nuev', 'hotel', 'are', 'caban', 'vist', 'espectacul', 'haci', 'popocateptl', 'lugar', 'realment', 'relaj', 'are', 'sirv', 'desayun', 'agrad', 'pued', 'ser', 'hotel', 'famili', 'bussin', 'class', 'dud', 'regresari']",5
"['paseo', 'prado', 'zona', 'paseo', 'isla', 'lleva', 'malecon', 'casi', 'capitolo', 'puedes', 'imaginar', 'senoras', 'senores', 'bien', 'adobada', 'ensamblar', 'paseos', 'pasarela', 'mostrando', 'mejores', 'armario', 'sombra', 'sombrilla', 'soleada', 'tarde', 'primavera']","['pase', 'prad', 'zon', 'pase', 'isla', 'llev', 'malecon', 'casi', 'capitol', 'pued', 'imagin', 'senor', 'senor', 'bien', 'adob', 'ensambl', 'pase', 'pasarel', 'mostr', 'mejor', 'armari', 'sombr', 'sombrill', 'sol', 'tard', 'primaver']",5
"['paseo', 'bonito', 'pasas', 'abajo', 'arriba', 'avenidas', 'q', 'mas', 'impresiono', 'limpieza', 'agua', 'parece', 'alberca', 'divertido', 'paseo', 'lindo', 'pierdan']","['pase', 'bonit', 'pas', 'abaj', 'arrib', 'aven', 'q', 'mas', 'impresion', 'limpiez', 'agu', 'parec', 'alberc', 'divert', 'pase', 'lind', 'pierd']",5
"['dias', 'bajar', '2', 'tres', 'veces', 'funcionan', 'llaves', 'abrir', 'habitacion', 'ademas', 'habia', 'varios', 'huespedes', 'cubrebocas', 'respetan', 'numero', 'personas', 'elevador', 'volveremos', 'hotel']","['dias', 'baj', '2', 'tres', 'vec', 'funcion', 'llav', 'abrir', 'habit', 'adem', 'habi', 'vari', 'huesped', 'cubreboc', 'respet', 'numer', 'person', 'elev', 'volv', 'hotel']",5
"['hotel', 'antiguo', 'cumple', 'bien', 'promete', 'rico', 'bar', 'piscina', 'ademas', 'shows', 'noches', 'super', 'buenos', 'pasar', 'buen', 'momento', 'gente', 'hotel', 'encantadora', 'si', 'aire', 'acondicionado', 'suena', 'demasiado', 'diria', 'habitaciones', 'viejas', 'limpio', 'queda', 'lejos', 'centro', 'ciudad', 'si']","['hotel', 'antigu', 'cumpl', 'bien', 'promet', 'ric', 'bar', 'piscin', 'adem', 'shows', 'noch', 'sup', 'buen', 'pas', 'buen', 'moment', 'gent', 'hotel', 'encant', 'si', 'air', 'acondicion', 'suen', 'demasi', 'diri', 'habit', 'viej', 'limpi', 'qued', 'lej', 'centr', 'ciud', 'si']",5
"['hotel', 'generalidad', 'adecuado', 'limpio', 'habitaciones', 'espaciosas', 'buen', 'restaurante', 'excelente', 'ubicacion', 'pocos', 'minutos', 'zona', 'centro', 'enfrente', 'parque', 'fundidora', 'cintermex', 'solo', 'falta', 'cuidar', 'area', 'alberca']","['hotel', 'general', 'adecu', 'limpi', 'habit', 'espaci', 'buen', 'restaur', 'excelent', 'ubic', 'poc', 'minut', 'zon', 'centr', 'enfrent', 'parqu', 'fundidor', 'cintermex', 'sol', 'falt', 'cuid', 'are', 'alberc']",3
"['hotel', 'hace', 'dias', 'aparte', 'excelente', 'ubicacion', 'centro', 'habana', 'vieja', 'recomiendo', 'nadie', 'habitaciones', 'sucias', 'igual', 'espanoles', 'comentamos', 'colchas', 'sucias', 'gastadas', 'toallas', 'roturas', 'u', 'oxido', 'mias', 'daban', 'asco', 'desayuno', 'pesimo', 'comprendiendo', 'estabamos', 'cuba', 'carencias', 'pago', 'suciedad', 'contrapartida', 'dire', 'piscina', 'despues', 'callejear', 'mal', 'hotel', 'volvere']","['hotel', 'hac', 'dias', 'apart', 'excelent', 'ubic', 'centr', 'haban', 'viej', 'recom', 'nadi', 'habit', 'suci', 'igual', 'espanol', 'coment', 'colch', 'suci', 'gast', 'toall', 'rotur', 'u', 'oxid', 'mias', 'dab', 'asco', 'desayun', 'pesim', 'comprend', 'estab', 'cub', 'carenci', 'pag', 'sucied', 'contrapart', 'dir', 'piscin', 'despu', 'callej', 'mal', 'hotel', 'volver']",3
"['buena', 'variedad', 'menu', 'rapidos', 'atenderte', 'comida', 'salsas', 'buen', 'sabor']","['buen', 'varied', 'menu', 'rap', 'atendert', 'com', 'sals', 'buen', 'sabor']",4
"['almorzamos', 'alli', 'semana', 'lleno', 'servicio', 'bien', 'comida', 'regular', 'mojitos', 'especial', 'teniamos', 'buen', 'almuerzo', 'esperaba', 'mas', 'lugar', 'p', 's', 'bastante', 'calor', 'dentro']","['almorz', 'alli', 'seman', 'llen', 'servici', 'bien', 'com', 'regul', 'mojit', 'especial', 'teni', 'buen', 'almuerz', 'esper', 'mas', 'lug', 'p', 's', 'bastant', 'calor', 'dentr']",5
"['olor', 'habitaciones', 'algun', 'producto', 'quimico', 'aire', 'funciona', 'bien', 'hace', 'ruido', 'peor', 'encontre', 'mate', 'cucaracha', 'bano', 'general', 'falta', 'adecuacion', 'hotel', 'forma', 'urgente', 'considerando', 'precio', 'habitaciones']","['olor', 'habit', 'algun', 'product', 'quimic', 'air', 'funcion', 'bien', 'hac', 'ruid', 'peor', 'encontr', 'mat', 'cucarach', 'ban', 'general', 'falt', 'adecu', 'hotel', 'form', 'urgent', 'consider', 'preci', 'habit']",3
"['ambiente', 'relajado', 'agradable', 'cuatro', 'platos', 'solo', 'crema', 'sopa', 'alubias', 'bueno', 'rillenos', 'sabroso', 'camarones', 'coco', 'mango', 'overfried', 'salsa', 'vinos', 'frescos', 'salmon', 'ensalada', 'salmon', 'ahumado', 'soso', 'mas']","['ambient', 'relaj', 'agrad', 'cuatr', 'plat', 'sol', 'crem', 'sop', 'alubi', 'buen', 'rillen', 'sabros', 'camaron', 'coc', 'mang', 'overfri', 'sals', 'vin', 'fresc', 'salmon', 'ensal', 'salmon', 'ahum', 'sos', 'mas']",5
"['familia', 'hermoso', 'lugar', 'descansar', 'mas', 'actividades', 'pesar', 'anunciadas', 'cartelera', 'shows', 'pobres', 'comida', 'variada', 'tardaron', 'resolver', 'tema', 'wifi', 'quejamos', 'duramente', 'daban', 'informacion', 'fehaciente', 'adecuada', 'lastima', 'infraestructura', 'tan', 'adecuada', 'aprovechen', 'buen', 'servicio', 'volveria']","['famili', 'hermos', 'lug', 'descans', 'mas', 'activ', 'pes', 'anunci', 'carteler', 'shows', 'pobr', 'com', 'vari', 'tard', 'resolv', 'tem', 'wifi', 'quej', 'dur', 'dab', 'inform', 'fehacient', 'adecu', 'lastim', 'infraestructur', 'tan', 'adecu', 'aprovech', 'buen', 'servici', 'volveri']",5
"['buscando', 'restaurante', 'sentarse', 'encontramos', 'recepcionista', 'lugar', 'convencio', 'liberaria', 'mesa', 'terraza', 'lugar', 'casa', 'familia', 'hacia', 'comida', 'mesa', 'libero', 'trajeron', 'carta', 'mas']","['busc', 'restaur', 'sent', 'encontr', 'recepcion', 'lug', 'convenci', 'liberari', 'mes', 'terraz', 'lug', 'cas', 'famili', 'haci', 'com', 'mes', 'liber', 'trajeron', 'cart', 'mas']",4
"['palabras', 'describen', 'solo', 'metro', 'medellin', 'acogedora', 'calida', 'ciudad', 'excelente', 'transporte', 'clima', 'comida']","['palabr', 'describ', 'sol', 'metr', 'medellin', 'acogedor', 'cal', 'ciud', 'excelent', 'transport', 'clim', 'com']",5
"['excelente', 'restaurante', 'ofrece', 'opciones', 'carta', 'menu', 'degustacion', 'cocina', 'buen', 'gusto', 'ingredientes', 'locales', 'preparados', 'maestria', 'visite', 'esposa', 'cenar', 'experiencia', 'placentera', 'recepcion', 'despedida', 'servicio', 'bueno', 'tiempos', 'bastante', 'comodos', 'visita', 'educativa', 'terminos', 'gastronomia', 'recomiendo', 'ampliamente', 'mas']","['excelent', 'restaur', 'ofrec', 'opcion', 'cart', 'menu', 'degust', 'cocin', 'buen', 'gust', 'ingredient', 'local', 'prepar', 'maestri', 'visit', 'espos', 'cen', 'experient', 'placenter', 'recepcion', 'desped', 'servici', 'buen', 'tiemp', 'bastant', 'comod', 'visit', 'educ', 'termin', 'gastronomi', 'recom', 'ampli', 'mas']",4
"['vale', 'pena', 'mirador', 'ahi', 'normal', 'subir', 'funicular', 'vendimia', 'hotel', 'ahi', 'tambien', 'suben', 'tour', 'cobran', '120', 'persona', 'recomiendo', 'ir', 'cuenta', 'pipila', 'funicular', 'sale', 'mas', 'barato']","['val', 'pen', 'mirador', 'ahi', 'normal', 'sub', 'funicul', 'vendimi', 'hotel', 'ahi', 'tambi', 'sub', 'tour', 'cobr', '120', 'person', 'recom', 'ir', 'cuent', 'pipil', 'funicul', 'sal', 'mas', 'barat']",5
"['habitacion', 'tenia', 'unas', 'vistas', 'estupendas', 'oceano', 'ventaja', 'memorable', 'demas', 'recuerdos', 'sera', 'malo', 'manteles', 'sucios', 'pesimo', 'desayuno', 'cucarachas', 'muebles', 'ascensor', 'pelo', 'alfombra', 'sabanas', 'indiferente', 'grosero', 'personal', 'recepcion', 'ademas', 'increiblemente', 'ruidoso', 'fiestas', 'piscina', 'noches', 'miercoles', 'domingo', 'quiero', 'decir', 'piso', '19', 'daba', 'piscina', 'ventanas', 'cerradas', 'aire', 'acondicionado', 'funcionando', 'siendo', 'incapaces', 'dormir', 'debido', 'vibracion', 'amplificada', 'base', 'supuesto', 'manana', 'siguiente', 'piscina', 'sembrados', 'latas', 'cerveza', 'colillas', 'cigarrillos', 'nunca', 'alojaria', 'aqui', 'nuevo']","['habit', 'teni', 'unas', 'vist', 'estupend', 'ocean', 'ventaj', 'memor', 'dem', 'recuerd', 'ser', 'mal', 'mantel', 'suci', 'pesim', 'desayun', 'cucarach', 'muebl', 'ascensor', 'pel', 'alfombr', 'saban', 'indiferent', 'groser', 'personal', 'recepcion', 'adem', 'increibl', 'ruidos', 'fiest', 'piscin', 'noch', 'miercol', 'doming', 'quier', 'dec', 'pis', '19', 'dab', 'piscin', 'ventan', 'cerr', 'air', 'acondicion', 'funcion', 'siend', 'incapac', 'dorm', 'deb', 'vibracion', 'amplific', 'bas', 'supuest', 'manan', 'siguient', 'piscin', 'sembr', 'lat', 'cervez', 'colill', 'cigarrill', 'nunc', 'alojari', 'aqui', 'nuev']",4
